chrom	start	stop	hd_region	strains	n_strains
I	650000	660000	I_650000_660000	ECA36	1
I	1027000	1040000	I_1027000_1040000	ECA396	1
I	1044000	1056000	I_1044000_1056000	PB306	1
I	1052000	1059000	I_1052000_1059000	JU258	1
I	1053000	1059000	I_1053000_1059000	CB4854	1
I	1101000	1127000	I_1101000_1127000	CB4856,CB4854	2
I	1102000	1118000	I_1102000_1118000	NIC275	1
I	1208000	1218000	I_1208000_1218000	NIC236,PB306	2
I	1208000	1222000	I_1208000_1222000	CX11292	1
I	1209000	1218000	I_1209000_1218000	DL238,NIC3,ED3049,JU1530,RC301	5
I	1209000	1221000	I_1209000_1221000	NIC166,CB4857,CB4855,CB4854	4
I	1209000	1222000	I_1209000_1222000	JU775,MY16,CX11276,ED3046,QW947,JU346	6
I	1210000	1218000	I_1210000_1218000	NIC258	1
I	1210000	1222000	I_1210000_1222000	JU1491	1
I	1212000	1218000	I_1212000_1218000	NIC256,KR314,JU3225	3
I	1212000	1221000	I_1212000_1221000	NIC262,XZ1735,NIC267	3
I	1212000	1222000	I_1212000_1222000	LKC34,CB4856,CX11264,ECA594,JU310,NIC1809,CX11314,DL226,MY795,CX11271,JU1568,JU367	12
I	1213000	1218000	I_1213000_1218000	ECA2595,ECA2601,ECA2660,ECA923,ECA2659,QG2855,QG4228,QG2827,QG2854,QG2874,QG2873,JU4047,JU3135,NIC275,QG4138,JU3280,NIC272,QG2828,QG4017,WN2082,JU3132,JU4098,JU3141,MY2530,WN2064	25
I	1213000	1221000	I_1213000_1221000	ECA2561,JU2811,ECA640,ECA2559,TWN2530,JU3127,MY518,JU2513,JU2866,JU1172,JU2578,ECA2656,XZ1672,ECA2615,ECA2554,QG2818,JU1249	17
I	1213000	1222000	I_1213000_1222000	XZ2018,NIC1811,NIC1808,JU2522,JU2838,JU778,JU2576,BRC20263,MY2741,ED3048,MY2585,MY772,ECA1069,JU2800,QG2841,NIC1779,JU3137,JU323,MY679,MY920,ED3052,MY2453,QG4018,QG2824,MY2535,MY2693,NIC529,JU3134,JU2592,NIC1049,ECA2603,WN2086,JU1792	33
I	1213000	1223000	I_1213000_1223000	ECA1074	1
I	1262000	1268000	I_1262000_1268000	ECA396	1
I	1262000	1269000	I_1262000_1269000	DL238	1
I	1315000	1331000	I_1315000_1331000	XZ1516	1
I	1317000	1328000	I_1317000_1328000	ECA396	1
I	1317000	1332000	I_1317000_1332000	CB4854	1
I	1342000	1348000	I_1342000_1348000	XZ1516	1
I	1347000	1364000	I_1347000_1364000	NIC166	1
I	1353000	1359000	I_1353000_1359000	CB4857,QG2827,QG2841	3
I	1353000	1365000	I_1353000_1365000	NIC3	1
I	1356000	1361000	I_1356000_1361000	JU3225	1
I	1357000	1362000	I_1357000_1362000	XZ2018	1
I	1360000	1368000	I_1360000_1368000	XZ1516	1
I	1370000	1384000	I_1370000_1384000	ECA36	1
I	1454000	1460000	I_1454000_1460000	XZ1516	1
I	1516000	1523000	I_1516000_1523000	JU2131,JU2576,ECA2546,ECA2555,ECA2583,QG2832,QG2837,ECA2549	8
I	1518000	1523000	I_1518000_1523000	ECA2601,ECA2660,CB4856,ECA2659,JU3224,ED3046,NIC1811,JU774,JU3228,NIC1808,QG4228,ECA594,JU2811,ECA640,QG2854,QG2874,JU2522,QG2873,JU310,NIC1809,ECA2551,ECA2672,QG2835,ECA2559,QG4138,MY2741,TWN2530,MY2585,MY518,MY772,ECA1069,JU1172,NIC1779,QG2828,QG4017,ECA2656,JU323,JU3132,QG2824,ECA2603	40
I	1518000	1525000	I_1518000_1525000	ECA923,QG2855,QG2827,JU2838,JU1491,JU3137,MY920,QG4018,ECA2615,JU3141	10
I	1518000	1526000	I_1518000_1526000	PB306,JU775,ED3049,NIC256,MY16,LKC34,CB4855,QW947,CB4854,XZ1735,CX11292,JU4047,CX11314,JU778,DL226,NIC275,NIC514,BRC20263,JU346,ED3048,MY795,JU3127,JU2513,JU2800,QG2841,JU2578,MY679,PB303,ED3052,MY2453,XZ1672,MY2535,MY2693,NIC529,JU3134,JU2592,JU4098,QG2818,JU1792,MY2530,JU1568,JU367,JU1249	43
I	1582000	1587000	I_1582000_1587000	DL238	1
I	1618000	1628000	I_1618000_1628000	ECA36	1
I	1683000	1688000	I_1683000_1688000	ECA36	1
I	1853000	1860000	I_1853000_1860000	ECA36	1
I	1901000	1906000	I_1901000_1906000	ECA396	1
I	1903000	1912000	I_1903000_1912000	ED3049,CX11276,XZ2018,KR314	4
I	1903000	1919000	I_1903000_1919000	ECA36	1
I	1918000	1924000	I_1918000_1924000	NIC236,NIC3,PB306,MY1,LKC34,CB4855,ED3048,JU323	8
I	1918000	1928000	I_1918000_1928000	PX179	1
I	2218000	2227000	I_2218000_2227000	ECA36	1
I	2221000	2227000	I_2221000_2227000	XZ1516,NIC166,JU258,JU1213,ECA2660,JU1530,ECA2659,JU1793,EG4349,JU3224,JU774,JU3228,JU3144,JU2106,JU2131,ECA2551,ECA2672,JU3135,JU2576,ECA2546,JU1666,QG4080,JU2610,NIC526,ECA2583,QG2832,NIC528,ECA1074,JU2587,QG2837,NIC277,QG4017,NIC259,JU3132,NIC529,ECA2549,JU1440	37
I	2221000	2228000	I_2221000_2228000	ECA923,JU2879,ED3073	3
I	2222000	2227000	I_2222000_2227000	WN2001,JU310,QG2835,JU3127,WN2082,JU3134	6
I	2328000	2361000	I_2328000_2361000	ECA36,MY1,JU3225	3
I	2328000	2362000	I_2328000_2362000	DL238,ECA396,NIC236,NIC3,PB306,ECA2601,CB4857,ECA2561,LKC34,CB4856,CX11264,CB4855,CX11276,JU2464,QW947,XZ2018,QG2855,KR314,QG4228,ECA594,JU2811,QG2827,ECA640,QG2854,QG2874,CX11292,JU2522,QG2873,JU4047,JU2838,JU1491,CX11314,JU778,DL226,NIC514,BRC20263,ECA2555,ECA2559,NIC267,TWN2530,ED3048,JU3280,MY518,ECA1069,JU2513,JU2866,QG2841,JU1172,CX11271,JU3137,QG2828,JU2578,ECA2656,JU323,MY679,PX179,ED3052,XZ1672,QG2824,MY2535,JU4098,ECA2615,ECA2554,QG2818,ECA2603,JU2466	66
I	2477000	2484000	I_2477000_2484000	ECA2561,QW947,QG2855,KR314,QG4228,ECA594,JU2811,NIC1812,QG2854,QG2874,QG2873,CX11314,DL226,BRC20263,ECA2555,NIC267,QG4138,TWN2530,ECA1069,JU2513,JU2866,QG2841,JU1172,CX11271,JU2578,JU323,MY679,ED3052,MY2535,JU4098,ECA2615,QG2818,JU2466	33
I	2478000	2484000	I_2478000_2484000	ECA2559	1
I	2549000	2563000	I_2549000_2563000	ECA2659,JU3224,ECA2551	3
I	2550000	2563000	I_2550000_2563000	ECA2660,JU774,QG2832,ECA2549	4
I	2553000	2563000	I_2553000_2563000	JU3228,JU2879,ED3073,ECA2672,QG2835,QG4080,ECA2583,QG2837,QG4017	9
I	2554000	2563000	I_2554000_2563000	ECA2546	1
I	2556000	2563000	I_2556000_2563000	ECA396	1
I	2558000	2563000	I_2558000_2563000	DL238,CB4856,CX11264,CX11276,XZ2018,QG4135,QG2827,JU2522,JU2106,JU2838,JU1491,JU778,NIC272,JU3137,ECA2656,QG4018,QG2824,ECA2603	18
I	2562000	2568000	I_2562000_2568000	XZ1516	1
I	2576000	2583000	I_2576000_2583000	ED3049,NIC258,ED3046,ED3073,JU2131,JU2570,MY795,JU1568	8
I	2576000	2584000	I_2576000_2584000	JU258,EG4724,MY16,XZ1735	4
I	2752000	2758000	I_2752000_2758000	ECA396	1
I	2799000	2809000	I_2799000_2809000	CB4856,QG4080	2
I	3022000	3046000	I_3022000_3046000	DL238	1
I	3029000	3034000	I_3029000_3034000	ECA36,ECA640	2
I	3062000	3067000	I_3062000_3067000	ECA36	1
I	3587000	3592000	I_3587000_3592000	ECA36	1
I	3781000	3788000	I_3781000_3788000	ECA36	1
I	3804000	3809000	I_3804000_3809000	ECA36,XZ1516	2
I	10912000	10918000	I_10912000_10918000	ECA36,XZ1516,ECA396,JU3228	4
I	11239000	11247000	I_11239000_11247000	XZ1516	1
I	11241000	11253000	I_11241000_11253000	ECA36	1
I	11357000	11371000	I_11357000_11371000	CX11276	1
I	11358000	11367000	I_11358000_11367000	ECA396	1
I	11431000	11449000	I_11431000_11449000	MY679	1
I	11438000	11449000	I_11438000_11449000	XZ1516,ED3049,ED3046	3
I	11476000	11481000	I_11476000_11481000	NIC166,JU258,NIC236,NIC3,PB306,JU775,MY1,CB4857,MY16,JU1530,CX11264,CB4855,WN2001,CX11292,JU310,JU346,MY518,CX11271,PX179,MY2693	20
I	11476000	11482000	I_11476000_11482000	JU1212	1
I	11628000	11633000	I_11628000_11633000	JU1793,JU2610,JU3291,QG4008	4
I	11628000	11634000	I_11628000_11634000	XZ1516	1
I	12061000	12067000	I_12061000_12067000	CB4856	1
I	12063000	12152000	I_12063000_12152000	JU1212,JU2838,JU3135,JU2576,WN2086	5
I	12064000	12155000	I_12064000_12155000	XZ1516	1
I	12071000	12087000	I_12071000_12087000	JU2800,ECA2602,ECA2549	3
I	12073000	12088000	I_12073000_12088000	ED3049	1
I	12073000	12104000	I_12073000_12104000	CX11276	1
I	12080000	12088000	I_12080000_12088000	ECA594	1
I	12089000	12104000	I_12089000_12104000	NIC1798,NIC252	2
I	12095000	12123000	I_12095000_12123000	CB4856	1
I	12096000	12112000	I_12096000_12112000	ECA36	1
I	12103000	12109000	I_12103000_12109000	DL226	1
I	12103000	12110000	I_12103000_12110000	JU2879	1
I	12103000	12112000	I_12103000_12112000	ECA396,ED3049,ECA594,JU2800	4
I	12103000	12114000	I_12103000_12114000	ECA2602,ECA2549	2
I	12103000	12115000	I_12103000_12115000	JU4047	1
I	12103000	12123000	I_12103000_12123000	ED3046	1
I	12116000	12123000	I_12116000_12123000	NIC166,JU258,NIC3,MY1,JU1530	5
I	12118000	12123000	I_12118000_12123000	EG4349,JU3224	2
I	12120000	12125000	I_12120000_12125000	ECA36,NIC1798	2
I	12136000	12141000	I_12136000_12141000	JU2879,JU2800,ECA2602,ECA2549	4
