chrom	start	stop
I	650000	660000
I	1027000	1040000
I	1044000	1056000
I	1052000	1059000
I	1053000	1059000
I	1101000	1127000
I	1101000	1127000
I	1102000	1118000
I	1208000	1218000
I	1208000	1218000
I	1208000	1222000
I	1209000	1218000
I	1209000	1221000
I	1209000	1218000
I	1209000	1222000
I	1209000	1218000
I	1209000	1221000
I	1209000	1222000
I	1209000	1218000
I	1209000	1221000
I	1209000	1218000
I	1209000	1222000
I	1209000	1222000
I	1209000	1222000
I	1209000	1221000
I	1209000	1222000
I	1210000	1218000
I	1210000	1222000
I	1212000	1218000
I	1212000	1222000
I	1212000	1222000
I	1212000	1222000
I	1212000	1221000
I	1212000	1218000
I	1212000	1222000
I	1212000	1221000
I	1212000	1222000
I	1212000	1222000
I	1212000	1222000
I	1212000	1222000
I	1212000	1221000
I	1212000	1222000
I	1212000	1222000
I	1212000	1218000
I	1212000	1222000
I	1212000	1222000
I	1213000	1218000
I	1213000	1218000
I	1213000	1221000
I	1213000	1218000
I	1213000	1218000
I	1213000	1218000
I	1213000	1222000
I	1213000	1222000
I	1213000	1218000
I	1213000	1222000
I	1213000	1218000
I	1213000	1221000
I	1213000	1218000
I	1213000	1221000
I	1213000	1218000
I	1213000	1218000
I	1213000	1222000
I	1213000	1218000
I	1213000	1218000
I	1213000	1222000
I	1213000	1218000
I	1213000	1222000
I	1213000	1222000
I	1213000	1218000
I	1213000	1222000
I	1213000	1221000
I	1213000	1218000
I	1213000	1222000
I	1213000	1221000
I	1213000	1222000
I	1213000	1222000
I	1213000	1218000
I	1213000	1218000
I	1213000	1223000
I	1213000	1221000
I	1213000	1221000
I	1213000	1222000
I	1213000	1222000
I	1213000	1221000
I	1213000	1222000
I	1213000	1221000
I	1213000	1222000
I	1213000	1221000
I	1213000	1222000
I	1213000	1222000
I	1213000	1218000
I	1213000	1218000
I	1213000	1221000
I	1213000	1221000
I	1213000	1222000
I	1213000	1222000
I	1213000	1222000
I	1213000	1218000
I	1213000	1222000
I	1213000	1218000
I	1213000	1222000
I	1213000	1222000
I	1213000	1221000
I	1213000	1222000
I	1213000	1222000
I	1213000	1222000
I	1213000	1222000
I	1213000	1222000
I	1213000	1222000
I	1213000	1218000
I	1213000	1221000
I	1213000	1221000
I	1213000	1221000
I	1213000	1222000
I	1213000	1222000
I	1213000	1218000
I	1213000	1222000
I	1213000	1222000
I	1213000	1218000
I	1213000	1218000
I	1213000	1221000
I	1262000	1269000
I	1262000	1268000
I	1315000	1331000
I	1317000	1328000
I	1317000	1332000
I	1342000	1348000
I	1347000	1364000
I	1353000	1365000
I	1353000	1359000
I	1353000	1359000
I	1353000	1359000
I	1356000	1361000
I	1357000	1362000
I	1360000	1368000
I	1370000	1384000
I	1454000	1460000
I	1516000	1523000
I	1516000	1523000
I	1516000	1523000
I	1516000	1523000
I	1516000	1523000
I	1516000	1523000
I	1516000	1523000
I	1516000	1523000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1523000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1523000
I	1518000	1523000
I	1518000	1526000
I	1518000	1525000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1526000
I	1518000	1523000
I	1518000	1526000
I	1518000	1525000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1525000
I	1518000	1526000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1526000
I	1518000	1523000
I	1518000	1523000
I	1518000	1526000
I	1518000	1525000
I	1518000	1523000
I	1518000	1523000
I	1518000	1525000
I	1518000	1526000
I	1518000	1523000
I	1518000	1523000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1526000
I	1518000	1523000
I	1518000	1526000
I	1518000	1526000
I	1518000	1523000
I	1518000	1523000
I	1518000	1523000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1523000
I	1518000	1523000
I	1518000	1525000
I	1518000	1523000
I	1518000	1523000
I	1518000	1526000
I	1518000	1523000
I	1518000	1523000
I	1518000	1526000
I	1518000	1525000
I	1518000	1526000
I	1518000	1526000
I	1518000	1523000
I	1518000	1526000
I	1518000	1525000
I	1518000	1526000
I	1518000	1523000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1525000
I	1518000	1526000
I	1518000	1523000
I	1518000	1525000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1518000	1526000
I	1582000	1587000
I	1618000	1628000
I	1683000	1688000
I	1853000	1860000
I	1901000	1906000
I	1903000	1919000
I	1903000	1912000
I	1903000	1912000
I	1903000	1912000
I	1903000	1912000
I	1918000	1924000
I	1918000	1924000
I	1918000	1924000
