drug,mean_pct_inhibition,sd_pct_inhibition,n_strains,nice_drug_label2
2_4-D,12.7451151127034,11.4542461675615,192,"2,4-D"
Aldicarb,20.1756026343253,12.6294348233357,194,Aldicarb
Arsenic trioxide,18.8255573841989,5.59355265894861,194,Arsenic
Atrazine,25.3798221217808,5.36261643582366,195,Atrazine
Cadmium dichloride,54.0528822536384,7.51671456506915,190,Cadmium
Carbaryl,14.3570441413644,7.3243102305724,194,Carbaryl
Carboxin,18.9011335104909,8.56764582784063,193,Carboxin
Chlorfenapyr,56.4789983837997,8.11124526097103,152,Chlorfenapyr
Chlorothalonil,13.8729948851753,4.89976693268657,194,Chlorothalonil
Chlorpyrifos,17.8346636840632,6.76735621182026,173,Chlorpyrifos
Copper chloride,30.3965144643437,15.6703749183553,194,Copper
Lead nitrate,9.06888799900059,3.46521348964069,194,Lead
Malathion,37.746504966674,7.03596178508571,194,Malathion
Mancozeb,8.4851224821973,4.80722172027628,194,Mancozeb
Methomyl,43.4432889468707,7.82612683283326,143,Methomyl
Methyl mercury,47.6321583690223,11.5370761715402,193,Mercury
Nickel dichloride,11.2615634933345,13.9826138947593,193,Nickel
Paraquat_250,44.8014302914976,2.71883096657419,192,Paraquat 250 µM
Paraquat_62.5,29.0759831277637,8.00425976262534,155,Paraquat 62.5 µM
Propoxur,2.85654043033417,4.1946624752732,194,Propoxur
Pyraclostrobin,38.4795616612224,4.2411414508852,194,Pyraclostrobin
Silver nitrate_250,73.4281721494333,2.68545531082771,186,Silver 250 µM
Silver nitrate_7.8,8.78554969798493,6.10594978688945,194,Silver 7.8 µM
Triphenyl phosphate_50,52.0991674199752,4.79686990292615,191,TPhP 50 µM
Triphenyl phosphate_6.25,14.3953034700851,4.6568141188487,175,TPhP 6.25 µM
Zinc dichloride,11.0329430216118,4.89876228562049,174,Zinc
